Name,ID,L,a,b,LRV,R,G,B
Wildflower Bouquet,1079,80.9293,30.6203,13.5955,0.583434,1.02317,0.701189,0.695031
Cherished One,1080,72.119,41.0425,17.5668,0.438363,0.98708,0.57081,0.577212
Endless Possibilities,1081,52.5528,61.6355,42.1262,0.206397,0.878395,0.255627,0.22605
Tropical Heat,1082,45.3503,56.9106,31.1534,0.147937,0.762503,0.20403,0.234181
Morning Blush,1083,93.2171,4.65006,6.55218,0.834638,0.975072,0.910697,0.87498
Go Go Pink,1084,89.2873,12.8962,6.85219,0.747746,0.990723,0.845379,0.831027
Tint of Rose,1085,86.2666,18.6864,8.47397,0.685215,0.999182,0.795873,0.787207
Nosegay,1086,76.0711,32.6678,14.5323,0.50003,0.980241,0.642328,0.637593
Bay Coral,1087,65.5654,42.8719,21.4072,0.347651,0.924121,0.49415,0.484627
Childhood Crush,1088,60.401,46.1443,25.5146,0.285709,0.884536,0.42624,0.406707
Chuckles,1089,46.508,51.1175,33.1843,0.156471,0.749938,0.254256,0.228235
Tartlet ,1090,90.5655,11.0876,5.83847,0.775312,0.99035,0.864546,0.852291
All Dressed Up,1091,86.2098,16.007,6.53291,0.684075,0.976557,0.803106,0.800362
Petals Unfolding,1092,81.1297,21.5796,5.71848,0.587059,0.954434,0.732256,0.752421
Wood Nymph,1093,73.6231,29.4132,8.19422,0.461197,0.922539,0.62792,0.656427
Porcelain Rose,1094,64.7405,35.9136,12.5588,0.33721,0.865188,0.512601,0.535765
Empower,1095,45.6275,45.6404,25.7583,0.149951,0.708662,0.274924,0.267122
The Ego Has Landed,1096,46.3285,35.0903,15.8598,0.155126,0.656007,0.328809,0.334408
Pale Petunia,1097,82.8947,21.6439,4.35219,0.619648,0.972466,0.751402,0.781475
Bubblegum Pink,1098,78.6935,27.5138,5.64607,0.543984,0.964716,0.68831,0.728021
Dimple,1099,65.8329,42.1832,13.2622,0.351083,0.914165,0.500995,0.543517
Heart to Heart,1100,55.2654,52.3437,21.6108,0.231879,0.852232,0.344208,0.385889
Mullen Pink,1101,48.5317,55.4119,31.7949,0.172166,0.793983,0.251379,0.257451
Precious Peony,1102,46.2748,51.3847,24.4031,0.154726,0.743112,0.251566,0.283867
Moonrose,1103,41.6857,43.4018,17.5123,0.122979,0.64655,0.246516,0.283699
Valerie,1104,93.1949,8.26751,2.24878,0.834128,0.991753,0.901863,0.907823
It's A Girl!,1105,90.65,15.2194,1.69866,0.777158,1.01178,0.855006,0.884944
Garden Glory,1106,84.3966,25.7703,1.84723,0.648311,1.01225,0.755936,0.816989
Bunny Fluff,1107,71.3619,44.6865,6.33092,0.427161,0.984277,0.551208,0.649295
Pink Explosion,1108,64.2455,54.0675,12.7137,0.331046,0.959951,0.43428,0.534313
Party Time,1109,46.4392,64.7416,40.5959,0.155954,0.816724,0.146872,0.18509
Unmatched Beauty,1110,41.1237,53.48,29.1108,0.119419,0.695038,0.17832,0.209056
Royal Wedding ,1111,92.277,8.45933,3.28063,0.81327,0.985117,0.890948,0.889883
Wishful Thinking,1112,90.167,12.6855,2.49569,0.766646,0.989971,0.85644,0.873151
Fruitbowl,1113,85.9271,19.6588,4.02302,0.678414,0.99325,0.790183,0.816526
A Lot of Love,1114,83.0889,26.6398,5.76773,0.623306,1.01009,0.738353,0.774282
Dollie,1115,71.2509,40.2841,8.95138,0.425535,0.961123,0.565926,0.628736
Movie Star,1116,43.6659,62.9597,34.3522,0.136083,0.771785,0.124008,0.201824
Siren,1117,38.1452,48.3226,25.7817,0.101697,0.634679,0.179794,0.202345
Cotton Candy,1118,95.1063,4.46373,1.04618,0.878703,0.981976,0.933292,0.937572
Sweet Pea,1119,90.905,11.7117,-0.155168,0.782744,0.985363,0.867719,0.900947
Summer Cosmos,1120,87.6498,16.6557,-1.69228,0.713398,0.980163,0.818599,0.87711
Dahlia Delight,1121,82.0304,25.0894,-3.09036,0.603543,0.970701,0.733301,0.826972
Rose Mallow,1122,77.5476,31.2002,-3.2743,0.524474,0.9587,0.666215,0.780559
Groovy,1123,59.0278,52.096,-0.254478,0.270578,0.87162,0.390475,0.568539
Velvet Cake,1124,36.1713,49.9563,17.2156,0.090975,0.614222,0.147024,0.238689
Hepatica,1125,92.814,8.32111,0.192638,0.825431,0.982956,0.897851,0.919027
Seashell Pink,1126,86.7543,16.0799,0.027024,0.695066,0.969724,0.810048,0.854385
Pepto,1127,73.9875,28.9036,-0.926583,0.466845,0.907878,0.635112,0.724988
Minuette,1128,61.3079,38.8996,2.94628,0.296004,0.829606,0.468217,0.567396
Punky Pink,1129,45.8944,44.8002,12.0729,0.151908,0.696438,0.284126,0.357295
Obsession,1130,41.7977,49.8114,9.3958,0.123697,0.671714,0.214713,0.337283
Can Can,1131,42.1485,51.1494,1.56684,0.125963,0.674339,0.212619,0.389666
Sullivan's Heart,1132,84.3594,19.6962,1.24209,0.647589,0.969959,0.773499,0.819814
Christy's Smile,1133,81.7283,23.0899,1.34526,0.59798,0.96289,0.735108,0.791015
Pegeen Peony,1134,73.4847,31.0168,0.934134,0.459063,0.918698,0.622714,0.706829
Glam,1135,59.888,38.7276,3.6788,0.279991,0.813515,0.454075,0.547932
Romp,1136,39.104,39.4968,13.8906,0.107195,0.595791,0.239468,0.281945
Ode to Joy,1137,40.5994,40.0191,14.6649,0.116161,0.615622,0.251924,0.290771
Romantic Night,1138,37.0931,41.9057,19.6671,0.0958825,0.589229,0.206477,0.22901
Tutu,1139,90.3301,9.88997,2.3788,0.770183,0.971413,0.865732,0.875291
First Daughter,1140,87.5079,14.251,2.35134,0.710471,0.970495,0.822911,0.845154
Deco Pink,1141,83.3609,20.1623,2.31517,0.628452,0.963898,0.761113,0.801138
Vintage Victorian,1142,72.3516,29.1348,3.6229,0.441845,0.898773,0.616212,0.675391
Rambling Rose,1143,65.7469,33.3054,4.50306,0.349977,0.850209,0.533438,0.601129
Temptress,1144,52.2989,41.7943,11.7149,0.204111,0.75372,0.36295,0.419829
Romeo O Romeo,1145,37.3731,53.1294,19.8687,0.0974078,0.644235,0.135768,0.234118
Morning Shine,1146,94.0009,5.06757,0.489315,0.852736,0.972674,0.919463,0.929483
Columbine,1147,89.6208,10.5007,-0.661824,0.754874,0.960801,0.856828,0.890203
Persian Delight,1148,84.9945,15.4231,-2.78992,0.659963,0.938906,0.793155,0.855597
Parrot Tulip,1149,82.1114,19.5733,-4.42657,0.60504,0.93153,0.750555,0.836574
Pink Beauty,1150,74.1065,23.1713,-6.18909,0.468699,0.861934,0.65483,0.762661
Fuscia Fizz,1151,55.284,32.6867,-6.54617,0.232061,0.711699,0.430893,0.568586
Berry Patch,1152,35.3653,36.1018,-5.00213,0.0868233,0.517937,0.221736,0.36288
Vienna Dawn,1153,95.1077,2.94829,1.05679,0.878735,0.970393,0.937145,0.937226
Viola,1154,92.0254,8.1333,-1.59312,0.807614,0.968283,0.889891,0.923561
Little Smile,1155,87.3257,17.378,-6.46663,0.706726,0.97061,0.813972,0.908945
Pink Heath,1156,82.1823,23.8349,-9.60424,0.606354,0.949852,0.740045,0.875859
Blossoms in Spring,1157,72.6263,34.9124,-12.6577,0.445979,0.907238,0.603844,0.794614
Purple Hollyhock,1158,60.5647,49.2212,-14.0842,0.287549,0.852184,0.423528,0.677352
Bridesmaid,1159,38.1179,50.5366,-0.037251,0.101543,0.624093,0.171106,0.36128
Petal Poise,1160,92.0923,8.70885,-2.53296,0.809115,0.971021,0.889308,0.931459
Nursery Pink,1161,88.9842,12.3903,-4.39238,0.741307,0.958474,0.84547,0.911205
Venetian Rose,1162,84.1137,17.9772,-7.60616,0.642845,0.935778,0.777433,0.881667
Tiara Pink,1163,73.8942,24.6009,-13.0915,0.465394,0.853707,0.649851,0.809812
Carnation Rose,1164,68.0283,27.9592,-14.9937,0.380105,0.806224,0.578541,0.759988
Pink Parade,1165,54.6842,35.2617,-17.509,0.226252,0.699231,0.418645,0.636227
Noble Honor,1166,29.6958,26.2279,-5.00399,0.0611301,0.410317,0.206681,0.308358
Dream State,1167,89.6009,7.00898,0.47745,0.754446,0.937588,0.865515,0.880845
Marvelous Magic,1168,82.4327,11.8475,-4.43427,0.611003,0.880941,0.775236,0.838784
Baby Girl,1169,77.9307,17.4328,-6.39054,0.530943,0.865521,0.711957,0.804638
Lavender Quartz,1170,62.9313,24.6921,-10.2953,0.315045,0.739732,0.534757,0.672273
Teen Queen,1171,54.8861,24.8027,-11.7282,0.228197,0.650727,0.453356,0.597907
Immortality,1172,46.1844,28.2343,-10.1039,0.154053,0.582009,0.35655,0.499113
Purple Stiletto,1173,31.7845,17.1753,-5.23317,0.0699017,0.38345,0.25372,0.327625
Little Pinky,1174,94.3141,2.17932,1.62755,0.860041,0.956939,0.930067,0.923871
Taffeta Tint,1175,90.8903,8.26336,-2.88905,0.782422,0.953224,0.877182,0.920575
Poodle Pink,1176,86.0325,14.5554,-7.69727,0.68052,0.932795,0.807842,0.903101
Rosy Cheeks,1177,81.2818,19.6819,-11.6557,0.589822,0.906125,0.742783,0.8801
Rose Souvenir,1178,65.9555,26.1359,-20.3085,0.352663,0.758862,0.563905,0.774443
Moonlight Melody,1179,56.5818,31.6375,-22.5385,0.244968,0.68674,0.451496,0.689709
Berry Light,1180,31.7883,24.9478,-16.7564,0.0699181,0.403571,0.233067,0.398928
Violet Ash,1181,89.5508,8.83732,-3.57451,0.753373,0.940705,0.860976,0.910814
Lilacs in Spring,1182,85.7126,12.1112,-7.38177,0.67414,0.91223,0.810862,0.896786
Romantic Ballad,1183,80.806,16.3222,-11.6303,0.58121,0.877125,0.747021,0.874076
Graceful Garden,1184,73.2087,18.1197,-15.01,0.454828,0.79726,0.661645,0.814959
Satin Flower,1185,64.0649,20.6686,-18.7032,0.328815,0.705995,0.560033,0.74198
Pleasant Dream,1186,56.3078,23.1337,-19.5766,0.242204,0.637307,0.474406,0.665502
Joyous Song,1187,28.6088,22.0065,-16.7636,0.0568708,0.356423,0.213662,0.368096
Maiden of the Mist,1188,89.6473,8.68693,-5.04324,0.755442,0.936965,0.862719,0.922809
Little Touch ,1189,85.832,11.8701,-9.02619,0.676518,0.907601,0.813143,0.910208
Glittering Gemstone,1190,80.9716,15.5748,-13.2662,0.584198,0.869397,0.751206,0.887711
Cherish the Moment,1191,74.3456,17.3786,-17.4534,0.47244,0.798072,0.676277,0.844823
Cut Velvet,1192,64.793,20.7792,-23.8937,0.337868,0.700496,0.568485,0.786089
Crown Jewels,1193,52.0224,24.971,-28.3029,0.201643,0.580746,0.428662,0.679231
Magenta Red Lips,1194,32.8084,21.1275,-20.0081,0.0744922,0.384639,0.255144,0.428393
Rosie Posie,1195,91.5841,4.26354,-1.05476,0.797755,0.935433,0.894809,0.913885
Naughty Marietta,1196,84.3751,10.2358,-4.89208,0.647895,0.889793,0.800708,0.863283
Lavender Veil,1197,79.1311,13.9459,-7.57876,0.551561,0.85168,0.734593,0.82577
Heather Feather,1198,73.2881,11.2461,-9.17947,0.456044,0.764532,0.67968,0.773119
Enthroned Above,1199,63.7044,14.1213,-11.7963,0.324394,0.675264,0.57268,0.68917
Felicia,1200,51.9188,17.0233,-12.7479,0.200723,0.568796,0.446396,0.572964
Dreamy Heaven,1201,30.8166,13.8414,-9.57569,0.0657393,0.347278,0.254765,0.344476
Daring Deception,1202,90.2875,6.0396,1.98956,0.769259,0.941716,0.875337,0.876996
Etcetera,1203,82.5403,11.3868,-3.31737,0.61301,0.881493,0.777408,0.831716
Noteworthy,1204,78.6696,13.6922,-4.94928,0.543572,0.851048,0.729794,0.801634
Fashionably Plum ,1205,62.5011,18.4393,-9.64376,0.309923,0.696372,0.548223,0.662227
Screen Gem,1206,54.6353,19.6555,-11.8113,0.225783,0.615928,0.465864,0.595078
Orchid Orchestra,1207,46.2619,19.6137,-10.9937,0.15463,0.530674,0.383646,0.504351
Crowd Pleaser,1208,32.109,13.024,-8.12354,0.0713352,0.357877,0.268216,0.347659
Princess Irene,1209,88.6547,5.98134,0.325182,0.734349,0.91896,0.857712,0.871299
French Lavender,1210,82.9279,9.38366,-1.16932,0.620273,0.876459,0.78646,0.819881
Lavender Blessing,1211,77.5006,11.5117,-2.50118,0.523685,0.828495,0.722569,0.770854
Pansy Posie,1212,69.6982,11.6469,-5.24804,0.40322,0.738112,0.640051,0.706687
Berry Bright,1213,58.3266,13.4492,-5.93705,0.263063,0.627827,0.51846,0.592495
Majestic Plum,1214,44.6915,15.1758,-5.04735,0.143222,0.500214,0.379439,0.449535
Purple Shadow,1215,25.6252,9.5756,-4.19618,0.0462058,0.285603,0.218262,0.264105
Aimee,1216,91.577,2.86644,3.14121,0.797599,0.935133,0.897491,0.882086
Velvet Blush,1217,86.504,5.53586,0.442973,0.689999,0.891912,0.83512,0.846585
Odyssey Lilac,1218,81.4014,6.22347,-1.03865,0.592,0.836923,0.77793,0.801676
Desire?,1219,73.0627,10.0001,-2.57712,0.452599,0.769223,0.679237,0.72337
Play Time,1220,66.4769,11.0343,-3.67636,0.359437,0.702966,0.607739,0.661425
Charming Violet,1221,50.9914,12.5924,-3.88857,0.192612,0.550723,0.447143,0.504006
Grape Soda,1222,28.5733,11.3872,-2.34201,0.0567348,0.326249,0.239538,0.2799
Ostrich Tail,1223,89.8236,4.58298,-1.82317,0.75923,0.916182,0.874584,0.900041
Fragrant Snowbell,1224,81.3294,7.61152,-5.2464,0.590688,0.835932,0.77442,0.831859
Velour,1225,70.6419,10.7589,-9.86229,0.416687,0.730774,0.653153,0.749298
Imagine That,1226,54.9223,13.3906,-11.6283,0.228546,0.578834,0.485566,0.595879
Vivid Vision,1227,34.4995,11.8358,-10.3742,0.0825062,0.368784,0.293409,0.384003
Petunia Patty,1228,27.1505,8.66001,-6.10383,0.0514736,0.290616,0.234116,0.289037
Eleanor Ann,1229,24.2187,5.11366,-2.54355,0.0416782,0.250897,0.215749,0.241289
Crescent Moon,1230,92.55,2.35745,0.477298,0.819437,0.935553,0.910086,0.912834
Hosta Flower,1231,90.351,4.26319,-1.96106,0.770638,0.919295,0.881267,0.906896
Flowers of May,1232,87.1384,6.31454,-5.76873,0.702889,0.889161,0.841279,0.899757
Plum Cake,1233,79.4885,10.5318,-12.3315,0.557801,0.818671,0.748429,0.863641
Grape's Treasure,1234,73.2367,10.8228,-14.6762,0.455257,0.746318,0.681369,0.811763
Yolanda,1235,62.8831,12.702,-19.1275,0.314469,0.636977,0.569551,0.731081
Sunset Serenade,1236,31.6869,15.8461,-16.867,0.0694741,0.350517,0.258996,0.397514
Easter Bunny,1237,91.4926,3.10065,-2.38032,0.795723,0.92206,0.896957,0.922589
Fairytale,1238,88.5204,5.60275,-6.82353,0.731524,0.896313,0.858531,0.922908
Plum's the Word,1239,84.3715,7.99175,-11.0907,0.647824,0.856819,0.807712,0.908464
Drifting Dream,1240,78.4365,11.6819,-17.4013,0.539567,0.801452,0.735202,0.888948
Grape Illusion,1241,70.6753,12.2758,-22.1242,0.417168,0.707646,0.652257,0.836958
Gorgeous Hydrangea,1242,64.4964,14.1348,-25.9177,0.334161,0.643653,0.584031,0.79613
When Red Met Blue,1243,32.128,16.8157,-25.7608,0.0714201,0.335642,0.262753,0.456899
White Bud,1244,89.4637,2.19196,-3.55274,0.751509,0.889272,0.876884,0.90851
Perfection,1245,86.1167,3.21247,-7.396,0.682208,0.849637,0.838129,0.899895
Purple Purity,1246,80.6579,4.66472,-12.2781,0.578546,0.787149,0.77591,0.875293
May Mist,1247,66.7156,7.48972,-21.0191,0.362567,0.632785,0.622675,0.785082
Velvet Crest,1248,61.4194,7.46232,-22.495,0.297286,0.572378,0.568426,0.738007
Purple Spire,1249,48.6984,9.85142,-24.4193,0.173503,0.454246,0.435877,0.616385
True Romance,1250,31.3013,10.4005,-20.4942,0.0678026,0.30247,0.270102,0.41549
Mountain's Majesty,1251,84.6999,5.47689,-8.36342,0.654204,0.848802,0.817134,0.891631
Lavender Bliss,1252,80.1939,7.84939,-11.5022,0.570255,0.80865,0.762759,0.864991
Petunia Trail,1253,73.2059,7.43053,-14.7312,0.454786,0.720616,0.689646,0.811312
Purple Vision,1254,65.9947,9.21139,-22.0101,0.35317,0.635148,0.611158,0.784429
Purple Haze,1255,63.853,9.99255,-23.5064,0.326212,0.613696,0.58742,0.771711
Plum Preserve,1256,50.2325,14.3706,-29.2,0.18614,0.486341,0.440817,0.664991
Voldemort,1257,30.2147,12.8958,-22.9237,0.0632364,0.301045,0.254906,0.420105
Sweet Flower,1258,89.9694,1.00074,-3.8394,0.762374,0.884808,0.885482,0.916096
Eyeshadow,1259,87.1559,2.28986,-8.2849,0.703248,0.851372,0.85202,0.917936
Pretty Posie,1260,77.4699,5.33957,-19.4919,0.523169,0.735592,0.741369,0.892416
Childish Wonder,1261,69.9034,6.38029,-23.9993,0.406123,0.647714,0.659412,0.840997
Bailey Bells,1262,60.5048,8.53117,-30.974,0.286875,0.540439,0.558564,0.787089
Medieval,1263,48.0621,11.4947,-36.3938,0.168434,0.41366,0.428889,0.68984
Altar of Heaven,1264,34.239,11.0627,-29.4906,0.0812359,0.302535,0.297557,0.500874
White Shoulders,1265,94.6761,-0.166747,1.95658,0.868536,0.943613,0.939888,0.925006
Penelope,1266,90.353,0.94762,-3.92924,0.770681,0.888407,0.889892,0.921049
Casa del Mar,1267,83.1271,1.78354,-12.3657,0.624026,0.791093,0.809838,0.902966
Spoiled Rotten,1268,77.4646,3.04604,-20.4587,0.52308,0.71379,0.747106,0.899049
Mood Mode,1269,60.1432,4.96996,-32.8969,0.282826,0.498652,0.563857,0.796109
Wind Star,1270,50.3637,8.31787,-37.0108,0.187248,0.407442,0.45919,0.718409
Hot Sauna,1271,28.8531,11.4943,-31.475,0.05781,0.245471,0.248654,0.459281
Angel Kiss,1272,92.001,-0.336739,1.65106,0.807067,0.911515,0.910391,0.897395
Wildflower Prairie,1273,83.3888,1.40024,-9.96705,0.628982,0.798101,0.813147,0.888189
Genevieve,1274,79.3162,1.2972,-14.6045,0.554786,0.738871,0.770028,0.876852
High Style,1275,72.4752,2.75377,-20.6625,0.443701,0.657344,0.694535,0.84508
Velvet Robe,1276,65.3132,4.1881,-25.1368,0.344437,0.577524,0.616983,0.798326
Regal Azure,1277,50.3805,6.52227,-32.1656,0.187391,0.414673,0.462217,0.685672
Fresh Take,1278,39.5943,7.80702,-32.8635,0.110082,0.313917,0.355707,0.576975
He Loves Me,1279,88.139,2.85322,-2.98915,0.723546,0.881164,0.860478,0.889667
Lilac Luster,1280,83.1934,4.39992,-6.82707,0.625281,0.828182,0.80306,0.863437
Collensia,1281,75.3841,5.31515,-10.3656,0.488921,0.740519,0.717172,0.803482
Butterfly Bush,1282,67.0091,3.96747,-12.26,0.366441,0.636017,0.632365,0.726147
Lavender Spectacle,1283,61.5068,4.5412,-13.9984,0.298295,0.578029,0.574443,0.679721
Grapes of Wrath,1284,42.6524,5.68743,-14.7099,0.129266,0.39576,0.385066,0.490422
Jazlyn,1285,28.5962,4.80176,-9.38729,0.0568224,0.272885,0.256095,0.321479
Lavender Pizzazz,1286,90.3864,2.87188,-0.722271,0.771407,0.912215,0.884919,0.897782
Orchid Fragrance,1287,79.0551,5.04592,-6.52989,0.550239,0.788645,0.756502,0.815839
Violet Crush,1288,72.0343,5.26575,-9.086,0.437101,0.70779,0.681424,0.757939
Lilac Blossom,1289,62.1504,6.02161,-10.7764,0.305788,0.604746,0.576882,0.66445
Violet Vibes,1290,55.134,7.01635,-11.3043,0.230599,0.538376,0.503445,0.594961
Dancing in the Spring,1291,49.6163,7.07421,-10.9178,0.180993,0.48426,0.448517,0.535896
Plum Perfect,1292,31.0446,7.32111,-7.3402,0.0667044,0.315845,0.272117,0.332159
Violet Pearl,1293,87.8492,3.76468,-3.95775,0.717523,0.882397,0.855192,0.8938
Lavender Scent,1294,85.7148,3.1652,-4.57968,0.674184,0.852519,0.833292,0.874595
Gypsy Caravan,1295,81.742,4.94027,-6.30082,0.598232,0.817785,0.785814,0.843651
Violet Beauty,1296,74.1442,6.06958,-10.9287,0.469288,0.731296,0.702208,0.79412
Royal Proclamation,1297,67.4835,7.82922,-12.8586,0.37276,0.668001,0.628078,0.736016
Queen of Sheba,1298,51.7122,9.6225,-17.0765,0.198896,0.505957,0.464323,0.598719
Soul Train,1299,32.5068,11.2996,-10.6716,0.0731196,0.345963,0.276623,0.366784
Winged Victory,1300,91.0413,2.48744,1.75882,0.785742,0.922848,0.892714,0.886429
Lavender Bikini,1301,87.6989,4.27157,1.26265,0.714411,0.897777,0.851314,0.853449
Heather Hill,1302,72.972,5.74533,-4.19168,0.451217,0.734082,0.689257,0.733196
Cut Heather,1303,61.4716,6.97362,-5.16015,0.297888,0.618837,0.566557,0.618704
Iced Orchid,1304,54.3542,8.04843,-3.80529,0.223098,0.555897,0.491752,0.536592
Victorian Violet,1305,46.8586,8.60149,-4.26276,0.159118,0.482843,0.416733,0.464743
Royal Velvet,1306,28.623,10.921,-5.95375,0.0569248,0.317422,0.24176,0.301893
Clytemnestra,1307,90.3928,1.83052,1.78478,0.771547,0.910637,0.887127,0.878912
Stardust Ballroom,1308,84.1544,4.77071,-1.1995,0.64363,0.856141,0.811582,0.832727
So Dainty,1309,78.9229,5.85432,-2.98446,0.547947,0.802296,0.752405,0.788793
Velvet Dawn,1310,73.218,6.42734,-4.56066,0.454971,0.740751,0.690253,0.738586
Gypsy's Gown,1311,64.6259,7.55938,-6.42947,0.335776,0.652829,0.597807,0.660588
Southern Belle,1312,47.7596,8.42163,-6.50445,0.166059,0.48564,0.426325,0.488331
My Place or Yours?,1313,30.066,6.50227,-4.51951,0.0626279,0.308008,0.264656,0.305885
Desired Dawn,1314,86.2036,0.713548,-0.92891,0.68395,0.848659,0.843999,0.852567
Calamities,1315,82.5863,1.02339,-2.57179,0.613868,0.807056,0.803897,0.824949
Savoy,1316,76.9769,1.39777,-4.31405,0.514934,0.744497,0.742563,0.776544
Buffed Plum,1317,71.6281,1.17487,-5.35749,0.431078,0.682915,0.686196,0.726361
Dusky Mood,1318,63.8468,0.731745,-7.7498,0.326136,0.591623,0.606153,0.660527
Overlook,1319,46.0825,0.527503,-9.02942,0.153297,0.408595,0.42834,0.487054
Blackwater,1320,36.857,1.13513,-7.65821,0.0946093,0.328975,0.338874,0.388215
