Name,ID,L,a,b,LRV,R,G,B
Touch of Sun,852,97.2641,-1.11562,7.39608,0.930899,0.978993,0.970453,0.912503
Lemon Lilly,853,96.1638,-1.2987,14.0701,0.904032,0.980537,0.957407,0.84938
Crocus Tint,854,95.3981,-0.882342,21.9847,0.885644,0.991379,0.946589,0.780583
Butter Tart,855,93.2014,1.9158,39.7855,0.834278,1.01622,0.91276,0.619774
Broadway Lights,856,91.0761,5.01556,54.0275,0.786509,1.03044,0.879799,0.4834
Peeps,857,86.4351,11.5099,76.4852,0.688608,1.03595,0.810001,0.219102
Look at the Bright Side,858,82.7959,18.8561,93.2469,0.617793,1.04442,0.749285,-0.339844
Daylilly Yellow,859,94.7739,-0.730658,15.6412,0.870841,0.972467,0.940131,0.822235
Hawaiian Cream,860,92.6263,0.864158,25.6755,0.821166,0.979412,0.910708,0.722739
Lemon Filling,861,91.2518,1.1423,33.1574,0.790386,0.978274,0.893744,0.650608
Yellow Trumpet,862,87.9841,3.93821,43.7096,0.720322,0.974874,0.849397,0.534636
I'm a Local,863,79.7938,8.60578,54.9715,0.563168,0.922267,0.747295,0.359933
Lioness,864,74.6971,10.6485,58.3985,0.477976,0.878357,0.687334,0.277931
Lemon Bar,865,68.7632,10.0069,61.3418,0.390165,0.807664,0.626546,0.184135
Apple Sauce,866,93.3407,-0.184646,13.5397,0.837473,0.955829,0.923037,0.82258
Egg Noodle,867,90.7279,0.738481,20.3385,0.77886,0.94701,0.890604,0.742881
Shortcake,868,87.8863,1.95316,25.6062,0.718292,0.933142,0.855409,0.672872
Frozen Fruit,869,82.4644,3.19185,27.826,0.611596,0.884216,0.792662,0.599389
Lemon Slice,870,69.1501,5.90213,38.8567,0.395531,0.767776,0.642684,0.381926
Gold Finch,871,65.7697,6.07576,37.0076,0.35027,0.729352,0.607265,0.362814
Saffron Valley,872,57.4068,8.15964,41.9002,0.253417,0.654679,0.5164,0.244991
Washed in Light,873,92.8116,2.5999,17.7836,0.825374,0.979242,0.909563,0.785242
Kettle Corn,874,90.8459,2.90377,20.6689,0.781447,0.964636,0.886487,0.742154
Nothing Less,875,89.3551,3.14544,20.7435,0.749192,0.949576,0.869338,0.725603
Corn Chowder,876,81.0214,5.13706,28.0211,0.585098,0.881515,0.772135,0.583431
Gold Digger,877,73.7295,7.01158,34.6851,0.46284,0.821121,0.688543,0.459541
Glorious Gold,878,67.8808,8.40752,36.7169,0.378106,0.766903,0.62339,0.386521
Golden Cadillac,879,58.7865,9.65607,37.3567,0.267976,0.674567,0.526931,0.293963
Cauliflower Cream,880,91.1402,1.60207,15.992,0.787922,0.949385,0.893691,0.780392
Golden Syrup,881,87.1426,2.57468,20.893,0.702976,0.920762,0.84631,0.700654
Marzipan,882,85.8166,3.06795,23.3355,0.676211,0.91366,0.830173,0.668322
Follow the Leader,883,80.543,3.63233,26.4797,0.576485,0.863524,0.770896,0.589599
Gold Tweed,884,71.815,5.6536,33.1726,0.433843,0.789104,0.671858,0.451262
Jungle Expedition,885,62.9343,7.21807,36.6745,0.315082,0.704803,0.575279,0.338118
Gold Estate,886,53.0342,6.43111,34.8845,0.210775,0.591045,0.477538,0.256836
Haystack,887,90.929,1.40557,15.4452,0.783272,0.944438,0.89191,0.782178
Golden Weave,888,88.2832,1.84991,15.338,0.726555,0.917675,0.861492,0.754408
Russeau Gold,889,86.5021,2.65574,21.8509,0.68996,0.915855,0.838928,0.686651
Dubloon,890,76.019,6.40017,27.7735,0.499182,0.833453,0.71522,0.534103
Silence is Golden,891,68.0853,7.8186,31.305,0.380879,0.759168,0.627562,0.428631
Gold Ransom,892,62.714,8.10237,31.3851,0.312451,0.701975,0.571342,0.375445
Rich and Rare,893,51.8867,8.82235,34.1222,0.200438,0.591945,0.460453,0.252652
Misty Mustard,894,93.3715,1.15432,14.0238,0.838183,0.967235,0.920001,0.819535
Rotunda Gold,895,90.4071,3.77999,19.6814,0.771859,0.964079,0.879554,0.745092
Coin Purse,896,86.1512,5.76135,24.1996,0.682899,0.937687,0.826952,0.666033
Bag of Gold,897,78.8838,7.88337,31.8408,0.547271,0.881168,0.741655,0.5335
Goby Desert,898,72.4714,10.2939,36.4368,0.443645,0.829851,0.666666,0.434786
Bugle Boy,899,62.8337,11.7995,40.7343,0.313878,0.735136,0.562254,0.307951
Unforgettably Gold,900,57.8319,12.255,39.3996,0.257845,0.68104,0.510478,0.270354
Spinning Wheel,901,94.1162,0.457565,10.5503,0.855421,0.962824,0.930617,0.853888
Soleil,902,89.7237,4.35348,22.6319,0.757083,0.965781,0.870111,0.715578
Dainty Flower,903,87.0077,6.36801,28.6729,0.70022,0.958874,0.834214,0.641468
Sunday Afternoon,904,85.5692,5.84351,31.8665,0.671292,0.943705,0.819383,0.601954
Egyptian Gold,905,80.6846,8.61579,35.5836,0.579027,0.911445,0.758734,0.523876
Cat's Eye Marble,906,71.7381,11.9602,44.5013,0.432704,0.840302,0.653796,0.366014
Millionaire,907,59.2781,14.1945,45.8473,0.273296,0.713383,0.519409,0.233976
God-Given,908,96.1173,-0.32948,10.2065,0.902908,0.978704,0.955111,0.878492
Autumn Child,909,92.4213,3.0438,21.1562,0.816526,0.984506,0.903601,0.755509
Western Sky,910,89.3596,5.49613,30.1274,0.749287,0.98214,0.862176,0.655023
Sunset in Italy,911,82.0745,9.92574,38.1944,0.604358,0.939244,0.770047,0.51858
Tropical Dream,912,77.52,11.6529,42.2537,0.524011,0.902488,0.716079,0.441416
Angel Food Cake,913,70.2434,14.386,49.7473,0.410964,0.842429,0.631195,0.309911
